"Code","Item","Group","Region_Number","Region_Name","State_Name","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Average_Annual_Percent_Growth"
"1","Personal Health Care (Millions of Dollars)","United States","0","United States","","217102.314","251922.637","283230.287","311839.013","341911.961","376758.089","409365.608","448330.27","499314.393","551406.797","616599.334","677396.931","733447.651","780995.695","822982.287","872727.469","921678.737","974450.414","1028324.049","1088785.834","1164394.909","1264099.586","1371616.785","1478984.735","1585019.828","1692591.165","1798822.239","1904344.145","1997199.344","2089862.287","8.1"
"1","Personal Health Care (Millions of Dollars)","Region","1","New England","","12867.505","14745.225","16671.286","18328.687","20156.446","21929.723","24206.33","27050.878","30823.106","34742.121","38386.235","41394.772","44340.428","47358.024","49561.332","52770.476","55322.17","58654.237","62712.14","65388.969","69606.495","75666.938","82722.619","88914.457","96131.05","101795.349","108598.227","115531.309","121482.579","127196.402","8.2"
"1","Personal Health Care (Millions of Dollars)","State","1","New England","Connecticut","3142.373","3626.125","4153.078","4601.468","5103.189","5570.756","6195.356","6982.972","8012.108","9155.996","10103.534","10991.931","11708.678","12314.461","12912.019","13741.985","14190.512","15029.435","15926.161","16662.32","17462.458","18829.181","20395.44","21452.608","23611.057","24377.87","25842.794","27204.521","28829.467","30328.344","8.1"
"1","Personal Health Care (Millions of Dollars)","State","1","New England","Maine","950.805","1087.758","1233.67","1360.9","1484.174","1612.258","1753.375","1945.451","2236.354","2483.596","2782.172","3013.832","3221.068","3458.983","3581.495","3919.044","4275.057","4608.207","4971.985","5387.615","5787.953","6358.85","7041.144","7717.027","8390.453","9012.099","9410.189","9851.621","10361.95","10865.084","8.8"
"1","Personal Health Care (Millions of Dollars)","State","1","New England","Massachusetts","6724.031","7665.162","8585.705","9363.309","10261.795","11062.151","12136.914","13527.312","15433.71","17322.921","19082.181","20499.267","21856.007","23495.683","24692.716","25918.613","27170.39","28717.665","30777.654","31455.51","33516.979","36696.966","40185.023","43374.892","46182.003","49068.699","53046.718","57124.53","59945.177","62779.667","8"
"1","Personal Health Care (Millions of Dollars)","State","1","New England","New Hampshire","685.51","812.446","935.344","1043.038","1170.447","1330.866","1518.628","1774.236","2000.253","2272.245","2531.41","2752.171","3044.438","3278.353","3388.811","3702.656","3984.298","4248.739","4578.339","5017.947","5331.69","5620.774","6051.161","6544.455","7193.655","7861.188","8498.913","9079.266","9540.151","10021.204","9.7"
"1","Personal Health Care (Millions of Dollars)","State","1","New England","Rhode Island","975.271","1101.431","1233.909","1386.651","1529.439","1691.633","1861.167","2014.576","2220.778","2474.847","2718.621","2870.597","3148.957","3348.058","3424.148","3761.656","3904.995","4142.596","4422.367","4663.238","5041.07","5448.535","6038.858","6520.338","7109.479","7628.411","7923.013","8261.827","8650.98","8910.279","7.9"
"1","Personal Health Care (Millions of Dollars)","State","1","New England","Vermont","389.514","452.303","529.58","573.32","607.402","662.059","740.89","806.329","919.902","1032.516","1168.317","1266.974","1361.28","1462.485","1562.144","1726.521","1796.919","1907.594","2035.634","2202.338","2466.344","2712.632","3010.993","3305.136","3644.402","3847.082","3876.601","4009.544","4154.855","4291.825","8.6"
"1","Personal Health Care (Millions of Dollars)","Region","2","Mideast","","43538.388","49671.598","55568.426","61295.36","68238.122","74611.673","81284.923","90365.922","100537.732","111125.17","123715.168","135207.812","146301.976","155646.555","164210.138","173242.923","180944.022","189952.01","198695.696","210847.354","224212.522","241967.384","261008.618","281652.961","299594.163","318078.984","335805.032","352646.607","366692.536","383083.581","7.8"
"1","Personal Health Care (Millions of Dollars)","State","2","Mideast","Delaware","542.942","612.652","703.834","778.335","878.671","997.205","1090.99","1227.438","1379.706","1555.874","1735.615","1918.905","2103.942","2261.883","2457.137","2622.455","2721.765","2975.834","3123.975","3445.054","3653.033","3946.272","4368.901","4906.909","5293.868","5701.072","6051.459","6473.375","6861.981","7247.361","9.3"
"1","Personal Health Care (Millions of Dollars)","State","2","Mideast","District of Columbia","1372.144","1551.764","1746.781","1906.217","2117.818","2270.541","2535.019","2760.548","3033.213","3289.263","3525.237","3819.744","3930.7","4126.339","4114.061","4108.851","4179.772","4187.914","4346.016","4663.949","4641.377","5006.492","5414.018","5795.615","6337.635","6601.512","6974.604","7358.105","7634.69","8196.279","6.4"
"1","Personal Health Care (Millions of Dollars)","State","2","Mideast","Maryland","4136.154","4731.548","5246.652","5748.999","6447.42","7026.063","7768.008","8669.351","9736.488","10696.476","11832.547","12988.366","14109.48","15102.828","16193.808","17026.806","18046.957","18985.148","19337.599","20754.821","22388.301","24540.484","26821.707","29184.628","31319.819","33348.927","36156.717","38221.208","40240.63","41994.857","8.3"
"1","Personal Health Care (Millions of Dollars)","State","2","Mideast","New Jersey","6476.122","7455.163","8389.525","9372.316","10679.222","11612.235","12691.348","14294.255","16161.67","18094.732","20408.936","22135.837","24614.077","25995.575","27758.002","29470.807","30502.552","32157.124","33756.833","35350.289","38617.463","40839.27","44630.524","47052.554","50225.532","53983.555","56485.261","59059.218","61225.923","63328.914","8.2"
